scheduler,syntax,valid_scheduler,basic_run,retry_run,suspend_run,grouping,overcommit,priority_ordering,starvation,no_deadlock
scheduler_medium_001.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_medium_002.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_batch_completions,pass,pass
scheduler_medium_003.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_medium_004.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_medium_005.py,pass,pass,simulation_error,simulation_error,no_suspend_usage,simulation_error,simulation_error,simulation_error,batch_starvation,simulation_error
scheduler_medium_006.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_medium_007.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_medium_008.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_batch_completions,batch_starvation,pass
scheduler_medium_009.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,pass,pass,pass
scheduler_medium_010.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,batch_starvation,simulation_error
scheduler_medium_011.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_batch_completions,batch_starvation,pass
scheduler_medium_012.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,batch_starvation,simulation_error
scheduler_medium_013.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_medium_014.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,batch_starvation,simulation_error
scheduler_medium_015.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_batch_completions,batch_starvation,deadlock
scheduler_medium_016.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,batch_starvation,pass
scheduler_medium_017.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,simulation_error,simulation_error
scheduler_medium_018.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_batch_completions,batch_starvation,pass
scheduler_medium_019.py,pass,pass,simulation_error,simulation_error,no_suspend_usage,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error
scheduler_medium_020.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_medium_021.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,simulation_error,simulation_error
scheduler_medium_022.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_batch_completions,batch_starvation,pass
scheduler_medium_023.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,batch_starvation,pass
scheduler_medium_024.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,batch_starvation,simulation_error
scheduler_medium_025.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_medium_026.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_medium_027.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_medium_028.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,batch_starvation,pass
scheduler_medium_029.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,pass,pass,pass
scheduler_medium_030.py,pass,pass,simulation_error,simulation_error,no_suspend_usage,simulation_error,simulation_error,simulation_error,batch_starvation,simulation_error
scheduler_medium_031.py,pass,pass,simulation_error,simulation_error,no_suspend_usage,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error
scheduler_medium_032.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_medium_033.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_batch_completions,batch_starvation,pass
scheduler_medium_034.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,batch_starvation,pass
scheduler_medium_035.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,pass
scheduler_medium_036.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_batch_completions,batch_starvation,pass
scheduler_medium_037.py,pass,pass,simulation_error,simulation_error,no_suspend_usage,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error
scheduler_medium_038.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,priority_inversion,pass,pass
