pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,BATCH_PIPELINE,op1,,1,const,,55
p1,,,op2,op1,40,linear7,,20
p1,,,op3,op1,1,const,,55
p1,,,op4,op1,1,const,,55
p1,,,op5,op1,15,linear3,,37.5
p2,0.0,BATCH_PIPELINE,op1,,1,const,,55
p2,,,op2,,20,linear7,,30
p2,,,op3,,20,linear7,,30
p2,,,op4,,15,linear3,,37.5
p2,,,op5,,40,linear7,,20
p2,,,op6,,20,linear7,,30
p2,,,op7,op1;op2;op3;op4;op5;op6,2,sqrt,,55
p3,0.0,BATCH_PIPELINE,op1,,1,const,,55
p3,,,op2,op1,15,linear3,,37.5
p3,,,op3,op1,5,linear3,,45
p3,,,op4,op1,2,sqrt,,55
p3,,,op5,op1,40,linear7,,20
p3,,,op6,op1,5,linear3,,45
p4,0.0,BATCH_PIPELINE,op1,,1,const,,55
p4,,,op2,,15,linear3,,37.5
p4,,,op3,,20,linear7,,30
p4,,,op4,,20,linear7,,30
p4,,,op5,,80,squared,,10
p4,,,op6,,5,linear3,,45
p4,,,op7,op1;op2;op3;op4;op5;op6,5,linear3,,45
p5,0.0,INTERACTIVE,op1,,1,const,,55
p5,,,op2,,15,linear3,,37.5
p5,,,op3,,2,sqrt,,55
p5,,,op4,,2,sqrt,,55
p5,,,op5,,20,linear7,,30
p5,,,op6,,40,linear7,,20
p5,,,op7,,20,linear7,,30
p5,,,op8,,5,linear3,,45
p5,,,op9,op1;op2;op3;op4;op5;op6;op7;op8,20,linear7,,30
p6,0.0,INTERACTIVE,op1,,1,const,,55
p6,,,op2,op1,20,linear7,,30
p6,,,op3,op1,20,linear7,,30
p6,,,op4,op1,15,linear3,,37.5
p6,,,op5,op1,20,linear7,,30
p6,,,op6,op1,20,linear7,,30
p6,,,op7,op1,1,const,,55
p6,,,op8,op1,5,linear3,,45
p7,0.0,BATCH_PIPELINE,op1,,1,const,,55
