pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,BATCH_PIPELINE,op1,,1,const,,55
p2,0.0,BATCH_PIPELINE,op1,,1,const,,55
p3,0.0,BATCH_PIPELINE,op1,,1,const,,55
p4,0.0,BATCH_PIPELINE,op1,,1,const,,55
p4,,,op2,op1,15,linear3,,37.5
p5,0.0,BATCH_PIPELINE,op1,,1,const,,55
p5,,,op2,op1,15,linear3,,37.5
p6,0.0,QUERY,op1,,15,linear3,,35
p7,0.0,BATCH_PIPELINE,op1,,1,const,,55
p8,0.0,INTERACTIVE,op1,,1,const,,55
p8,,,op2,op1,5,linear3,,45
p8,,,op3,op1,5,linear3,,45
p9,0.0,BATCH_PIPELINE,op1,,1,const,,55
p9,,,op2,op1,20,linear7,,30
p10,0.0,BATCH_PIPELINE,op1,,1,const,,55
p11,7.17,BATCH_PIPELINE,op1,,1,const,,55
p11,,,op2,op1,2,sqrt,,55
p11,,,op3,op2,2,sqrt,,55
p12,7.17,BATCH_PIPELINE,op1,,1,const,,55
p12,,,op2,op1,1,const,,55
p13,7.17,INTERACTIVE,op1,,1,const,,55
p14,7.17,INTERACTIVE,op1,,1,const,,55
p14,,,op2,op1,20,linear7,,30
p15,7.17,INTERACTIVE,op1,,1,const,,55
p15,,,op2,op1,20,linear7,,30
p16,7.17,BATCH_PIPELINE,op1,,1,const,,55
p17,7.17,BATCH_PIPELINE,op1,,1,const,,55
p18,7.17,BATCH_PIPELINE,op1,,1,const,,55
p18,,,op2,op1,5,linear3,,45
p19,7.17,BATCH_PIPELINE,op1,,1,const,,55
p19,,,op2,op1,20,linear7,,30
p20,7.17,QUERY,op1,,15,linear3,,35
p21,15.13,INTERACTIVE,op1,,1,const,,55
p22,15.13,INTERACTIVE,op1,,1,const,,55
p23,15.13,INTERACTIVE,op1,,1,const,,55
p23,,,op2,op1,15,linear3,,37.5
p24,15.13,BATCH_PIPELINE,op1,,1,const,,55
p25,15.13,INTERACTIVE,op1,,1,const,,55
p26,15.13,BATCH_PIPELINE,op1,,1,const,,55
p26,,,op2,op1,15,linear3,,37.5
p27,15.13,INTERACTIVE,op1,,1,const,,55
p27,,,op2,op1,15,linear3,,37.5
p28,15.13,INTERACTIVE,op1,,1,const,,55
p29,15.13,QUERY,op1,,15,linear3,,35
p30,15.13,INTERACTIVE,op1,,1,const,,55
p31,22.093,INTERACTIVE,op1,,1,const,,55
p31,,,op2,,40,linear7,,20
p31,,,op3,op1;op2,2,sqrt,,55
p32,22.093,INTERACTIVE,op1,,1,const,,55
p33,22.093,BATCH_PIPELINE,op1,,1,const,,55
p34,22.093,BATCH_PIPELINE,op1,,1,const,,55
p35,22.093,BATCH_PIPELINE,op1,,1,const,,55
p36,22.093,BATCH_PIPELINE,op1,,1,const,,55
p36,,,op2,op1,2,sqrt,,55
p36,,,op3,op2,15,linear3,,37.5
p37,22.093,QUERY,op1,,15,linear3,,35
p38,22.093,BATCH_PIPELINE,op1,,1,const,,55
p38,,,op2,op1,80,squared,,10
p39,22.093,BATCH_PIPELINE,op1,,1,const,,55
p40,22.093,BATCH_PIPELINE,op1,,1,const,,55
p41,30.593,BATCH_PIPELINE,op1,,1,const,,55
p42,30.593,QUERY,op1,,15,linear3,,35
p43,30.593,BATCH_PIPELINE,op1,,1,const,,55
p43,,,op2,op1,2,sqrt,,55
p43,,,op3,op1,1,const,,55
p44,30.593,INTERACTIVE,op1,,1,const,,55
p45,30.593,BATCH_PIPELINE,op1,,1,const,,55
p46,30.593,BATCH_PIPELINE,op1,,1,const,,55
p47,30.593,INTERACTIVE,op1,,1,const,,55
p48,30.593,BATCH_PIPELINE,op1,,1,const,,55
p48,,,op2,,40,linear7,,20
p48,,,op3,op1;op2,5,linear3,,45
p49,30.593,INTERACTIVE,op1,,1,const,,55
p50,30.593,INTERACTIVE,op1,,1,const,,55
p51,37.562,BATCH_PIPELINE,op1,,1,const,,55
p51,,,op2,op1,15,linear3,,37.5
p52,37.562,BATCH_PIPELINE,op1,,1,const,,55
p52,,,op2,op1,1,const,,55
p53,37.562,BATCH_PIPELINE,op1,,1,const,,55
p53,,,op2,op1,15,linear3,,37.5
p54,37.562,BATCH_PIPELINE,op1,,1,const,,55
p54,,,op2,op1,15,linear3,,37.5
p55,37.562,BATCH_PIPELINE,op1,,1,const,,55
p55,,,op2,op1,80,squared,,10
p55,,,op3,op2,15,linear3,,37.5
p56,37.562,BATCH_PIPELINE,op1,,1,const,,55
p57,37.562,BATCH_PIPELINE,op1,,1,const,,55
p58,37.562,BATCH_PIPELINE,op1,,1,const,,55
p59,37.562,BATCH_PIPELINE,op1,,1,const,,55
p60,37.562,INTERACTIVE,op1,,1,const,,55
p60,,,op2,op1,15,linear3,,37.5
p61,48.011,INTERACTIVE,op1,,1,const,,55
p62,48.011,BATCH_PIPELINE,op1,,1,const,,55
p63,48.011,BATCH_PIPELINE,op1,,1,const,,55
p64,48.011,INTERACTIVE,op1,,1,const,,55
p64,,,op2,op1,5,linear3,,45
p65,48.011,BATCH_PIPELINE,op1,,1,const,,55
p65,,,op2,op1,5,linear3,,45
p66,48.011,BATCH_PIPELINE,op1,,1,const,,55
p67,48.011,BATCH_PIPELINE,op1,,1,const,,55
p68,48.011,BATCH_PIPELINE,op1,,1,const,,55
p68,,,op2,op1,2,sqrt,,55
p68,,,op3,op2,5,linear3,,45
p69,48.011,BATCH_PIPELINE,op1,,1,const,,55
p70,48.011,INTERACTIVE,op1,,1,const,,55
p71,52.18,BATCH_PIPELINE,op1,,1,const,,55
p72,52.18,BATCH_PIPELINE,op1,,1,const,,55
p73,52.18,BATCH_PIPELINE,op1,,1,const,,55
p74,52.18,BATCH_PIPELINE,op1,,1,const,,55
p74,,,op2,op1,2,sqrt,,55
p74,,,op3,op2,80,squared,,10
p75,52.18,INTERACTIVE,op1,,1,const,,55
p76,52.18,INTERACTIVE,op1,,1,const,,55
p76,,,op2,op1,15,linear3,,37.5
p76,,,op3,op2,40,linear7,,20
p77,52.18,INTERACTIVE,op1,,1,const,,55
p78,52.18,INTERACTIVE,op1,,1,const,,55
p79,52.18,INTERACTIVE,op1,,1,const,,55
p80,52.18,BATCH_PIPELINE,op1,,1,const,,55
p80,,,op2,op1,15,linear3,,37.5
p81,61.181000000000004,BATCH_PIPELINE,op1,,1,const,,55
p81,,,op2,op1,80,squared,,10
p82,61.181000000000004,INTERACTIVE,op1,,1,const,,55
p82,,,op2,op1,5,linear3,,45
