pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,INTERACTIVE,op1,,1,const,,55
p1,,,op2,op1,1,const,,55
p1,,,op3,op2,1,const,,55
p1,,,op4,op3,1,const,,55
p1,,,op5,op4,1,const,,55
p1,,,op6,op5,1,const,,55
p1,,,op7,op6,1,const,,55
p1,,,op8,op7,1,const,,55
p1,,,op9,op8,1,const,,55
p1,,,op10,op9,1,const,,55
p1,,,op11,op10,1,const,,55
p1,,,op12,op11,1,const,,55
p1,,,op13,op12,1,const,,55
p2,0.0,BATCH_PIPELINE,op1,,1,const,,55
p2,,,op2,op1,1,const,,55
p2,,,op3,op2,1,const,,55
p2,,,op4,op3,1,const,,55
p2,,,op5,op4,1,const,,55
p2,,,op6,op5,1,const,,55
p2,,,op7,op6,1,const,,55
p2,,,op8,op7,1,const,,55
p3,0.0,INTERACTIVE,op1,,1,const,,55
p3,,,op2,op1,1,const,,55
p3,,,op3,op2,1,const,,55
p3,,,op4,op3,1,const,,55
p3,,,op5,op4,1,const,,55
p3,,,op6,op5,1,const,,55
p3,,,op7,op6,1,const,,55
p3,,,op8,op7,1,const,,55
p4,0.0,INTERACTIVE,op1,,1,const,,55
p4,,,op2,op1,1,const,,55
p4,,,op3,op2,1,const,,55
p4,,,op4,op3,1,const,,55
p4,,,op5,op4,1,const,,55
p4,,,op6,op5,1,const,,55
p4,,,op7,op6,1,const,,55
p4,,,op8,op7,1,const,,55
p4,,,op9,op8,1,const,,55
p5,0.0,BATCH_PIPELINE,op1,,1,const,,55
p5,,,op2,op1,1,const,,55
p5,,,op3,op2,1,const,,55
p5,,,op4,op3,1,const,,55
p5,,,op5,op4,1,const,,55
p6,0.0,QUERY,op1,,15,linear3,,35
p7,0.0,BATCH_PIPELINE,op1,,1,const,,55
p7,,,op2,op1,1,const,,55
p7,,,op3,op2,1,const,,55
p7,,,op4,op3,1,const,,55
p7,,,op5,op4,1,const,,55
p7,,,op6,op5,1,const,,55
p7,,,op7,op6,1,const,,55
p7,,,op8,op7,1,const,,55
p7,,,op9,op8,1,const,,55
p7,,,op10,op9,1,const,,55
p7,,,op11,op10,1,const,,55
p8,0.0,INTERACTIVE,op1,,1,const,,55
p8,,,op2,op1,1,const,,55
p8,,,op3,op2,1,const,,55
p8,,,op4,op3,1,const,,55
p8,,,op5,op4,1,const,,55
p8,,,op6,op5,1,const,,55
p8,,,op7,op6,1,const,,55
p8,,,op8,op7,1,const,,55
p8,,,op9,op8,1,const,,55
p9,0.0,BATCH_PIPELINE,op1,,1,const,,55
p9,,,op2,op1,1,const,,55
p9,,,op3,op2,1,const,,55
p9,,,op4,op3,1,const,,55
p9,,,op5,op4,1,const,,55
p9,,,op6,op5,1,const,,55
p9,,,op7,op6,1,const,,55
p9,,,op8,op7,1,const,,55
p9,,,op9,op8,1,const,,55
p9,,,op10,op9,1,const,,55
p9,,,op11,op10,1,const,,55
p9,,,op12,op11,1,const,,55
p10,0.0,BATCH_PIPELINE,op1,,1,const,,55
p10,,,op2,op1,1,const,,55
p10,,,op3,op2,1,const,,55
p10,,,op4,op3,1,const,,55
p10,,,op5,op4,1,const,,55
p10,,,op6,op5,1,const,,55
p10,,,op7,op6,1,const,,55
p10,,,op8,op7,1,const,,55
p10,,,op9,op8,1,const,,55
p11,11.715,BATCH_PIPELINE,op1,,1,const,,55
p11,,,op2,op1,1,const,,55
p11,,,op3,op2,1,const,,55
p11,,,op4,op3,1,const,,55
p11,,,op5,op4,1,const,,55
p11,,,op6,op5,1,const,,55
p12,11.715,BATCH_PIPELINE,op1,,1,const,,55
p12,,,op2,op1,1,const,,55
p12,,,op3,op2,1,const,,55
p12,,,op4,op3,1,const,,55
p12,,,op5,op4,1,const,,55
p12,,,op6,op5,1,const,,55
p12,,,op7,op6,1,const,,55
p12,,,op8,op7,1,const,,55
p13,11.715,QUERY,op1,,15,linear3,,35
p14,11.715,BATCH_PIPELINE,op1,,1,const,,55
p14,,,op2,op1,1,const,,55
p14,,,op3,op2,1,const,,55
p14,,,op4,op3,1,const,,55
p14,,,op5,op4,1,const,,55
p14,,,op6,op5,1,const,,55
p14,,,op7,op6,1,const,,55
p14,,,op8,op7,1,const,,55
p15,11.715,BATCH_PIPELINE,op1,,1,const,,55
p15,,,op2,op1,1,const,,55
p15,,,op3,op2,1,const,,55
p15,,,op4,op3,1,const,,55
p15,,,op5,op4,1,const,,55
p15,,,op6,op5,1,const,,55
p16,11.715,INTERACTIVE,op1,,1,const,,55
p16,,,op2,op1,1,const,,55
p16,,,op3,op2,1,const,,55
p16,,,op4,op3,1,const,,55
p16,,,op5,op4,1,const,,55
