scheduler,syntax,valid_scheduler,basic_run,retry_run,suspend_run,grouping,overcommit,priority_ordering,starvation,no_deadlock
scheduler_est_001.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_est_002.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_est_003.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_est_004.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_est_005.py,pass,pass,simulation_error,simulation_error,no_suspend_usage,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error
scheduler_est_006.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,pass
scheduler_est_007.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_est_008.py,pass,pass,pass,pass,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_est_009.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_est_010.py,pass,pass,simulation_error,simulation_error,no_suspend_usage,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error
scheduler_est_011.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_est_012.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_est_013.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_est_014.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_est_015.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,simulation_error,deadlock
scheduler_est_016.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_est_017.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,pass
scheduler_est_018.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_est_019.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,pass
scheduler_est_020.py,pass,pass,pass,pass,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_est_021.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_est_022.py,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
scheduler_est_023.py,pass,pass,pass,pass,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_est_024.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_est_025.py,pass,pass,pass,pass,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_est_026.py,pass,pass,pass,pass,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_est_027.py,pass,pass,simulation_error,simulation_error,no_suspend_usage,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error
scheduler_est_028.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
