pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,BATCH_PIPELINE,op1,,1,const,,55
p1,,,op2,op1,40,linear7,,20
p1,,,op3,op1,1,const,,55
p2,0.0,BATCH_PIPELINE,op1,,1,const,,55
p2,,,op2,,15,linear3,,37.5
p2,,,op3,,5,linear3,,45
p2,,,op4,,40,linear7,,20
p2,,,op5,op1;op2;op3;op4,40,linear7,,20
p3,30.496000000000002,BATCH_PIPELINE,op1,,1,const,,55
p3,,,op2,op1,20,linear7,,30
p3,,,op3,op2,5,linear3,,45
p3,,,op4,op3,40,linear7,,20
p3,,,op5,op4,15,linear3,,37.5
p4,30.496000000000002,BATCH_PIPELINE,op1,,1,const,,55
p4,,,op2,op1,15,linear3,,37.5
p4,,,op3,op1,15,linear3,,37.5
p4,,,op4,op1,15,linear3,,37.5
p5,64.489,QUERY,op1,,15,linear3,,35
p6,64.489,INTERACTIVE,op1,,1,const,,55
p6,,,op2,,15,linear3,,37.5
p6,,,op3,,5,linear3,,45
p6,,,op4,,5,linear3,,45
p6,,,op5,op1;op2;op3;op4,40,linear7,,20
p7,75,INTERACTIVE,op1,,1,const,,55
p7,,,op2,op1,40,linear7,,20
p7,,,op3,op2,40,linear7,,20
p8,75,BATCH_PIPELINE,op1,,1,const,,55
p8,,,op2,op1,5,linear3,,45
p8,,,op3,op2,20,linear7,,30
p9,75,BATCH_PIPELINE,op1,,1,const,,55
p9,,,op2,op1,20,linear7,,30
p9,,,op3,op2,40,linear7,,20
p9,,,op4,op3,20,linear7,,30
p9,,,op5,op4,20,linear7,,30
p10,75,BATCH_PIPELINE,op1,,1,const,,55
p10,,,op2,,15,linear3,,37.5
p10,,,op3,op1;op2,5,linear3,,45
p11,75,INTERACTIVE,op1,,1,const,,55
p11,,,op2,op1,40,linear7,,20
p11,,,op3,op2,1,const,,55
p11,,,op4,op3,15,linear3,,37.5
p11,,,op5,op4,20,linear7,,30
