pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,BATCH_PIPELINE,op1,,1,const,,55
p1,,,op2,op1,80,squared,,10
p1,,,op3,op1,5,linear3,,45
p2,0.0,BATCH_PIPELINE,op1,,1,const,,55
p2,,,op2,,40,linear7,,20
p2,,,op3,,20,linear7,,30
p2,,,op4,,80,squared,,10
p2,,,op5,op1;op2;op3;op4,80,squared,,10
p3,0.0,BATCH_PIPELINE,op1,,1,const,,55
p3,,,op2,op1,20,linear7,,30
p3,,,op3,op2,80,squared,,10
p3,,,op4,op3,20,linear7,,30
p3,,,op5,op4,80,squared,,10
p3,,,op6,op5,40,linear7,,20
p4,0.0,BATCH_PIPELINE,op1,,1,const,,55
p4,,,op2,op1,40,linear7,,20
p4,,,op3,op1,40,linear7,,20
p4,,,op4,op1,40,linear7,,20
p5,11.331,QUERY,op1,,15,linear3,,35
p6,11.331,INTERACTIVE,op1,,1,const,,55
p6,,,op2,,40,linear7,,20
p6,,,op3,,20,linear7,,30
p6,,,op4,,20,linear7,,30
p6,,,op5,op1;op2;op3;op4,80,squared,,10
p7,11.331,INTERACTIVE,op1,,1,const,,55
p7,,,op2,op1,20,linear7,,30
p7,,,op3,op2,80,squared,,10
p7,,,op4,op3,80,squared,,10
p8,11.331,BATCH_PIPELINE,op1,,1,const,,55
p8,,,op2,op1,20,linear7,,30
p8,,,op3,op2,80,squared,,10
p9,21.623,BATCH_PIPELINE,op1,,1,const,,55
p9,,,op2,op1,80,squared,,10
p9,,,op3,op2,80,squared,,10
p9,,,op4,op3,80,squared,,10
p9,,,op5,op4,80,squared,,10
p9,,,op6,op5,15,linear3,,37.5
p10,21.623,BATCH_PIPELINE,op1,,1,const,,55
p10,,,op2,op1,40,linear7,,20
p10,,,op3,op2,80,squared,,10
p10,,,op4,op3,20,linear7,,30
p11,21.623,BATCH_PIPELINE,op1,,1,const,,55
p11,,,op2,op1,80,squared,,10
p12,21.623,BATCH_PIPELINE,op1,,1,const,,55
p12,,,op2,op1,40,linear7,,20
p12,,,op3,op2,40,linear7,,20
p12,,,op4,op3,80,squared,,10
p12,,,op5,op4,40,linear7,,20
p13,28.434,BATCH_PIPELINE,op1,,1,const,,55
p13,,,op2,op1,80,squared,,10
p13,,,op3,op2,80,squared,,10
p14,28.434,BATCH_PIPELINE,op1,,1,const,,55
p14,,,op2,op1,40,linear7,,20
p14,,,op3,op2,80,squared,,10
p14,,,op4,op3,20,linear7,,30
p14,,,op5,op4,40,linear7,,20
p15,28.434,INTERACTIVE,op1,,1,const,,55
p15,,,op2,op1,40,linear7,,20
p15,,,op3,op2,80,squared,,10
p16,28.434,INTERACTIVE,op1,,1,const,,55
p16,,,op2,op1,40,linear7,,20
p16,,,op3,op2,40,linear7,,20
p16,,,op4,op3,40,linear7,,20
p16,,,op5,op4,5,linear3,,45
p17,34.817,INTERACTIVE,op1,,1,const,,55
p17,,,op2,op1,20,linear7,,30
p17,,,op3,op1,40,linear7,,20
p18,34.817,BATCH_PIPELINE,op1,,1,const,,55
p18,,,op2,,20,linear7,,30
p18,,,op3,,40,linear7,,20
p18,,,op4,op1;op2;op3,20,linear7,,30
p19,34.817,BATCH_PIPELINE,op1,,1,const,,55
p19,,,op2,op1,80,squared,,10
p19,,,op3,op2,80,squared,,10
p19,,,op4,op3,20,linear7,,30
p19,,,op5,op4,15,linear3,,37.5
p19,,,op6,op5,80,squared,,10
p20,34.817,BATCH_PIPELINE,op1,,1,const,,55
p20,,,op2,op1,80,squared,,10
p20,,,op3,op2,40,linear7,,20
p20,,,op4,op3,15,linear3,,37.5
p20,,,op5,op4,80,squared,,10
p21,45.367000000000004,BATCH_PIPELINE,op1,,1,const,,55
p21,,,op2,op1,80,squared,,10
p21,,,op3,op2,15,linear3,,37.5
p21,,,op4,op3,20,linear7,,30
p21,,,op5,op4,20,linear7,,30
p21,,,op6,op5,40,linear7,,20
p22,45.367000000000004,BATCH_PIPELINE,op1,,1,const,,55
p22,,,op2,op1,15,linear3,,37.5
p22,,,op3,op2,15,linear3,,37.5
p22,,,op4,op3,80,squared,,10
p22,,,op5,op4,80,squared,,10
p23,45.367000000000004,BATCH_PIPELINE,op1,,1,const,,55
p23,,,op2,op1,20,linear7,,30
p23,,,op3,op1,2,sqrt,,55
p23,,,op4,op1,80,squared,,10
p23,,,op5,op1,20,linear7,,30
p23,,,op6,op1,40,linear7,,20
p23,,,op7,op1,20,linear7,,30
p23,,,op8,op1,40,linear7,,20
p24,45.367000000000004,BATCH_PIPELINE,op1,,1,const,,55
p24,,,op2,op1,15,linear3,,37.5
p24,,,op3,op2,5,linear3,,45
p24,,,op4,op3,40,linear7,,20
p24,,,op5,op4,40,linear7,,20
p25,59.787,BATCH_PIPELINE,op1,,1,const,,55
p25,,,op2,op1,15,linear3,,37.5
p25,,,op3,op1,20,linear7,,30
p25,,,op4,op1,20,linear7,,30
p25,,,op5,op1,80,squared,,10
p25,,,op6,op1,20,linear7,,30
p26,59.787,BATCH_PIPELINE,op1,,1,const,,55
p26,,,op2,op1,80,squared,,10
p26,,,op3,op1,40,linear7,,20
p27,59.787,BATCH_PIPELINE,op1,,1,const,,55
p27,,,op2,op1,40,linear7,,20
p27,,,op3,op2,15,linear3,,37.5
p27,,,op4,op3,15,linear3,,37.5
p28,59.787,BATCH_PIPELINE,op1,,1,const,,55
p28,,,op2,op1,40,linear7,,20
p28,,,op3,op1,80,squared,,10
p28,,,op4,op1,80,squared,,10
p28,,,op5,op1,80,squared,,10
p28,,,op6,op1,40,linear7,,20
p29,72.553,INTERACTIVE,op1,,1,const,,55
p29,,,op2,op1,15,linear3,,37.5
p29,,,op3,op2,15,linear3,,37.5
p29,,,op4,op3,80,squared,,10
p29,,,op5,op4,80,squared,,10
p29,,,op6,op5,40,linear7,,20
p30,72.553,INTERACTIVE,op1,,1,const,,55
p30,,,op2,op1,80,squared,,10
p30,,,op3,op1,20,linear7,,30
p30,,,op4,op1,80,squared,,10
p30,,,op5,op1,40,linear7,,20
p30,,,op6,op1,40,linear7,,20
p31,72.553,INTERACTIVE,op1,,1,const,,55
p31,,,op2,op1,80,squared,,10
p31,,,op3,op2,80,squared,,10
p31,,,op4,op3,2,sqrt,,55
p31,,,op5,op4,40,linear7,,20
p32,72.553,BATCH_PIPELINE,op1,,1,const,,55
p32,,,op2,op1,40,linear7,,20
p32,,,op3,op2,80,squared,,10
p33,79.238,INTERACTIVE,op1,,1,const,,55
p33,,,op2,op1,80,squared,,10
p33,,,op3,op2,80,squared,,10
p33,,,op4,op3,80,squared,,10
p34,79.238,BATCH_PIPELINE,op1,,1,const,,55
p34,,,op2,op1,80,squared,,10
p34,,,op3,op2,80,squared,,10
p34,,,op4,op3,15,linear3,,37.5
p35,79.238,INTERACTIVE,op1,,1,const,,55
p35,,,op2,op1,80,squared,,10
p35,,,op3,op1,20,linear7,,30
p35,,,op4,op1,40,linear7,,20
p35,,,op5,op1,15,linear3,,37.5
p36,79.238,BATCH_PIPELINE,op1,,1,const,,55
p36,,,op2,op1,20,linear7,,30
p36,,,op3,op2,20,linear7,,30
p36,,,op4,op3,2,sqrt,,55
p36,,,op5,op4,40,linear7,,20
p37,86.58200000000001,BATCH_PIPELINE,op1,,1,const,,55
p37,,,op2,op1,20,linear7,,30
p37,,,op3,op2,40,linear7,,20
p37,,,op4,op3,5,linear3,,45
p37,,,op5,op4,15,linear3,,37.5
p37,,,op6,op5,80,squared,,10
p37,,,op7,op6,15,linear3,,37.5
p38,86.58200000000001,BATCH_PIPELINE,op1,,1,const,,55
p38,,,op2,op1,15,linear3,,37.5
p38,,,op3,op2,40,linear7,,20
p38,,,op4,op3,80,squared,,10
p38,,,op5,op4,80,squared,,10
p38,,,op6,op5,20,linear7,,30
p38,,,op7,op6,40,linear7,,20
p39,86.58200000000001,BATCH_PIPELINE,op1,,1,const,,55
p39,,,op2,op1,40,linear7,,20
p39,,,op3,op2,15,linear3,,37.5
p39,,,op4,op3,40,linear7,,20
p39,,,op5,op4,40,linear7,,20
p40,86.58200000000001,INTERACTIVE,op1,,1,const,,55
p40,,,op2,op1,80,squared,,10
p40,,,op3,op2,80,squared,,10
p40,,,op4,op3,80,squared,,10
p41,96.715,BATCH_PIPELINE,op1,,1,const,,55
p41,,,op2,op1,40,linear7,,20
p41,,,op3,op2,80,squared,,10
p41,,,op4,op3,80,squared,,10
p42,96.715,BATCH_PIPELINE,op1,,1,const,,55
p42,,,op2,op1,80,squared,,10
p42,,,op3,op2,15,linear3,,37.5
p42,,,op4,op3,80,squared,,10
p43,96.715,INTERACTIVE,op1,,1,const,,55
p43,,,op2,op1,80,squared,,10
p43,,,op3,op2,80,squared,,10
p43,,,op4,op3,15,linear3,,37.5
p43,,,op5,op4,40,linear7,,20
p44,96.715,BATCH_PIPELINE,op1,,1,const,,55
p44,,,op2,,40,linear7,,20
p44,,,op3,,40,linear7,,20
p44,,,op4,,80,squared,,10
p44,,,op5,op1;op2;op3;op4,80,squared,,10
p45,100.299,BATCH_PIPELINE,op1,,1,const,,55
p45,,,op2,op1,40,linear7,,20
p45,,,op3,op2,5,linear3,,45
p45,,,op4,op3,80,squared,,10
p45,,,op5,op4,80,squared,,10
p46,100.299,BATCH_PIPELINE,op1,,1,const,,55
p46,,,op2,op1,40,linear7,,20
p46,,,op3,op2,15,linear3,,37.5
p46,,,op4,op3,40,linear7,,20
p46,,,op5,op4,80,squared,,10
p46,,,op6,op5,80,squared,,10
p47,100.299,BATCH_PIPELINE,op1,,1,const,,55
p47,,,op2,op1,80,squared,,10
p47,,,op3,op2,80,squared,,10
p47,,,op4,op3,80,squared,,10
p47,,,op5,op4,40,linear7,,20
p47,,,op6,op5,80,squared,,10
p48,100.299,BATCH_PIPELINE,op1,,1,const,,55
p48,,,op2,op1,80,squared,,10
p48,,,op3,op2,40,linear7,,20
p48,,,op4,op3,80,squared,,10
p48,,,op5,op4,80,squared,,10
p48,,,op6,op5,80,squared,,10
p49,112.126,BATCH_PIPELINE,op1,,1,const,,55
p49,,,op2,op1,20,linear7,,30
p49,,,op3,op1,80,squared,,10
p49,,,op4,op1,80,squared,,10
p50,112.126,BATCH_PIPELINE,op1,,1,const,,55
p50,,,op2,op1,15,linear3,,37.5
p50,,,op3,op2,20,linear7,,30
p51,112.126,BATCH_PIPELINE,op1,,1,const,,55
p51,,,op2,op1,80,squared,,10
p51,,,op3,op2,2,sqrt,,55
p51,,,op4,op3,80,squared,,10
p52,112.126,BATCH_PIPELINE,op1,,1,const,,55
p52,,,op2,op1,2,sqrt,,55
p52,,,op3,op2,20,linear7,,30
p52,,,op4,op3,80,squared,,10
p52,,,op5,op4,5,linear3,,45
p53,125.816,BATCH_PIPELINE,op1,,1,const,,55
p53,,,op2,,80,squared,,10
p53,,,op3,,80,squared,,10
p53,,,op4,,80,squared,,10
p53,,,op5,,80,squared,,10
p53,,,op6,op1;op2;op3;op4;op5,80,squared,,10
p54,125.816,BATCH_PIPELINE,op1,,1,const,,55
p54,,,op2,op1,80,squared,,10
p54,,,op3,op2,80,squared,,10
p54,,,op4,op3,15,linear3,,37.5
p55,125.816,BATCH_PIPELINE,op1,,1,const,,55
p55,,,op2,op1,20,linear7,,30
p55,,,op3,op2,80,squared,,10
p55,,,op4,op3,80,squared,,10
p55,,,op5,op4,80,squared,,10
p55,,,op6,op5,80,squared,,10
p56,125.816,BATCH_PIPELINE,op1,,1,const,,55
p56,,,op2,op1,80,squared,,10
p56,,,op3,op2,40,linear7,,20
p56,,,op4,op3,2,sqrt,,55
p56,,,op5,op4,80,squared,,10
p56,,,op6,op5,40,linear7,,20
p57,136.086,BATCH_PIPELINE,op1,,1,const,,55
p57,,,op2,op1,5,linear3,,45
p58,136.086,BATCH_PIPELINE,op1,,1,const,,55
p58,,,op2,op1,80,squared,,10
p58,,,op3,op1,15,linear3,,37.5
p58,,,op4,op1,2,sqrt,,55
p58,,,op5,op1,80,squared,,10
p59,136.086,BATCH_PIPELINE,op1,,1,const,,55
p59,,,op2,op1,80,squared,,10
p59,,,op3,op2,80,squared,,10
p59,,,op4,op3,80,squared,,10
p59,,,op5,op4,80,squared,,10
p60,136.086,BATCH_PIPELINE,op1,,1,const,,55
p60,,,op2,,80,squared,,10
p60,,,op3,,40,linear7,,20
p60,,,op4,op1;op2;op3,80,squared,,10
p61,145.422,QUERY,op1,,15,linear3,,35
p62,145.422,INTERACTIVE,op1,,1,const,,55
p62,,,op2,op1,15,linear3,,37.5
p63,145.422,BATCH_PIPELINE,op1,,1,const,,55
p63,,,op2,,40,linear7,,20
p63,,,op3,,80,squared,,10
p63,,,op4,op1;op2;op3,80,squared,,10
p64,145.422,BATCH_PIPELINE,op1,,1,const,,55
p64,,,op2,op1,40,linear7,,20
p64,,,op3,op2,80,squared,,10
p64,,,op4,op3,80,squared,,10
p65,153.329,INTERACTIVE,op1,,1,const,,55
p65,,,op2,op1,40,linear7,,20
p65,,,op3,op2,80,squared,,10
p66,153.329,BATCH_PIPELINE,op1,,1,const,,55
p66,,,op2,op1,15,linear3,,37.5
p66,,,op3,op2,80,squared,,10
p67,153.329,BATCH_PIPELINE,op1,,1,const,,55
p67,,,op2,op1,20,linear7,,30
p68,153.329,INTERACTIVE,op1,,1,const,,55
p68,,,op2,op1,80,squared,,10
p68,,,op3,op2,40,linear7,,20
p69,164.151,INTERACTIVE,op1,,1,const,,55
p69,,,op2,op1,15,linear3,,37.5
p69,,,op3,op2,80,squared,,10
p69,,,op4,op3,40,linear7,,20
p69,,,op5,op4,80,squared,,10
p69,,,op6,op5,80,squared,,10
p70,164.151,BATCH_PIPELINE,op1,,1,const,,55
p70,,,op2,op1,80,squared,,10
p70,,,op3,op2,80,squared,,10
p70,,,op4,op3,80,squared,,10
p70,,,op5,op4,80,squared,,10
p71,164.151,BATCH_PIPELINE,op1,,1,const,,55
p71,,,op2,op1,80,squared,,10
p71,,,op3,op2,20,linear7,,30
p71,,,op4,op3,5,linear3,,45
p71,,,op5,op4,2,sqrt,,55
p72,164.151,BATCH_PIPELINE,op1,,1,const,,55
p72,,,op2,op1,80,squared,,10
p72,,,op3,op2,80,squared,,10
p72,,,op4,op3,20,linear7,,30
p73,175.02100000000002,BATCH_PIPELINE,op1,,1,const,,55
p73,,,op2,op1,80,squared,,10
p73,,,op3,op2,40,linear7,,20
p73,,,op4,op3,80,squared,,10
p74,175.02100000000002,BATCH_PIPELINE,op1,,1,const,,55
p74,,,op2,op1,80,squared,,10
p74,,,op3,op2,80,squared,,10
p74,,,op4,op3,80,squared,,10
p74,,,op5,op4,80,squared,,10
p75,175.02100000000002,BATCH_PIPELINE,op1,,1,const,,55
p75,,,op2,,80,squared,,10
p75,,,op3,,20,linear7,,30
p75,,,op4,op1;op2;op3,80,squared,,10
p76,175.02100000000002,BATCH_PIPELINE,op1,,1,const,,55
p76,,,op2,op1,80,squared,,10
p76,,,op3,op2,40,linear7,,20
p76,,,op4,op3,80,squared,,10
p76,,,op5,op4,5,linear3,,45
p77,184.18200000000002,BATCH_PIPELINE,op1,,1,const,,55
p77,,,op2,op1,80,squared,,10
p77,,,op3,op2,20,linear7,,30
p78,184.18200000000002,INTERACTIVE,op1,,1,const,,55
p79,184.18200000000002,BATCH_PIPELINE,op1,,1,const,,55
p79,,,op2,op1,80,squared,,10
p79,,,op3,op2,5,linear3,,45
p79,,,op4,op3,40,linear7,,20
p79,,,op5,op4,80,squared,,10
p80,184.18200000000002,QUERY,op1,,15,linear3,,35
p81,196.16,BATCH_PIPELINE,op1,,1,const,,55
p81,,,op2,op1,80,squared,,10
p81,,,op3,op2,80,squared,,10
p81,,,op4,op3,20,linear7,,30
p81,,,op5,op4,20,linear7,,30
p82,196.16,BATCH_PIPELINE,op1,,1,const,,55
p82,,,op2,op1,40,linear7,,20
p82,,,op3,op2,80,squared,,10
p82,,,op4,op3,80,squared,,10
p83,196.16,BATCH_PIPELINE,op1,,1,const,,55
p83,,,op2,op1,20,linear7,,30
p83,,,op3,op2,40,linear7,,20
p83,,,op4,op3,80,squared,,10
p83,,,op5,op4,5,linear3,,45
p83,,,op6,op5,80,squared,,10
p84,196.16,BATCH_PIPELINE,op1,,1,const,,55
p84,,,op2,op1,20,linear7,,30
p84,,,op3,op2,5,linear3,,45
p84,,,op4,op3,20,linear7,,30
p84,,,op5,op4,80,squared,,10
p84,,,op6,op5,40,linear7,,20
p85,205.52700000000002,BATCH_PIPELINE,op1,,1,const,,55
p85,,,op2,op1,80,squared,,10
p85,,,op3,op2,80,squared,,10
p85,,,op4,op3,80,squared,,10
p85,,,op5,op4,80,squared,,10
p86,205.52700000000002,BATCH_PIPELINE,op1,,1,const,,55
p86,,,op2,op1,40,linear7,,20
p86,,,op3,op2,20,linear7,,30
p86,,,op4,op3,15,linear3,,37.5
p86,,,op5,op4,15,linear3,,37.5
p86,,,op6,op5,20,linear7,,30
p86,,,op7,op6,40,linear7,,20
p87,205.52700000000002,BATCH_PIPELINE,op1,,1,const,,55
p87,,,op2,op1,80,squared,,10
p87,,,op3,op2,80,squared,,10
p87,,,op4,op3,40,linear7,,20
p87,,,op5,op4,20,linear7,,30
p88,205.52700000000002,BATCH_PIPELINE,op1,,1,const,,55
p88,,,op2,op1,40,linear7,,20
p88,,,op3,op2,80,squared,,10
p88,,,op4,op3,20,linear7,,30
p88,,,op5,op4,80,squared,,10
p89,211.89000000000001,BATCH_PIPELINE,op1,,1,const,,55
p89,,,op2,,80,squared,,10
p89,,,op3,,2,sqrt,,55
p89,,,op4,,15,linear3,,37.5
p89,,,op5,,40,linear7,,20
p89,,,op6,op1;op2;op3;op4;op5,15,linear3,,37.5
p90,211.89000000000001,INTERACTIVE,op1,,1,const,,55
p90,,,op2,op1,20,linear7,,30
p90,,,op3,op2,80,squared,,10
p90,,,op4,op3,80,squared,,10
p90,,,op5,op4,15,linear3,,37.5
p90,,,op6,op5,80,squared,,10
p90,,,op7,op6,80,squared,,10
p91,211.89000000000001,BATCH_PIPELINE,op1,,1,const,,55
p91,,,op2,op1,15,linear3,,37.5
p91,,,op3,op2,40,linear7,,20
p91,,,op4,op3,20,linear7,,30
p92,211.89000000000001,BATCH_PIPELINE,op1,,1,const,,55
p92,,,op2,op1,80,squared,,10
p92,,,op3,op1,20,linear7,,30
p92,,,op4,op1,80,squared,,10
p92,,,op5,op1,20,linear7,,30
p93,220.299,BATCH_PIPELINE,op1,,1,const,,55
p93,,,op2,op1,5,linear3,,45
p93,,,op3,op2,80,squared,,10
p93,,,op4,op3,15,linear3,,37.5
p93,,,op5,op4,80,squared,,10
p94,220.299,BATCH_PIPELINE,op1,,1,const,,55
p94,,,op2,op1,15,linear3,,37.5
p94,,,op3,op1,80,squared,,10
p94,,,op4,op1,80,squared,,10
p94,,,op5,op1,20,linear7,,30
p95,220.299,BATCH_PIPELINE,op1,,1,const,,55
p95,,,op2,op1,80,squared,,10
p95,,,op3,op2,20,linear7,,30
p95,,,op4,op3,80,squared,,10
p96,220.299,BATCH_PIPELINE,op1,,1,const,,55
p96,,,op2,op1,15,linear3,,37.5
p96,,,op3,op2,2,sqrt,,55
p96,,,op4,op3,80,squared,,10
p97,236.673,BATCH_PIPELINE,op1,,1,const,,55
p97,,,op2,op1,40,linear7,,20
p98,236.673,BATCH_PIPELINE,op1,,1,const,,55
p98,,,op2,op1,80,squared,,10
p98,,,op3,op2,15,linear3,,37.5
p99,236.673,BATCH_PIPELINE,op1,,1,const,,55
p99,,,op2,op1,40,linear7,,20
p99,,,op3,op2,40,linear7,,20
p99,,,op4,op3,80,squared,,10
p99,,,op5,op4,5,linear3,,45
p99,,,op6,op5,80,squared,,10
p99,,,op7,op6,40,linear7,,20
p100,236.673,BATCH_PIPELINE,op1,,1,const,,55
p100,,,op2,op1,15,linear3,,37.5
p100,,,op3,op2,80,squared,,10
p100,,,op4,op3,80,squared,,10
p101,244.501,BATCH_PIPELINE,op1,,1,const,,55
p101,,,op2,op1,5,linear3,,45
p101,,,op3,op2,40,linear7,,20
p101,,,op4,op3,20,linear7,,30
p101,,,op5,op4,40,linear7,,20
p101,,,op6,op5,40,linear7,,20
p102,244.501,BATCH_PIPELINE,op1,,1,const,,55
p102,,,op2,op1,20,linear7,,30
p103,244.501,BATCH_PIPELINE,op1,,1,const,,55
p103,,,op2,op1,20,linear7,,30
p103,,,op3,op2,15,linear3,,37.5
p103,,,op4,op3,80,squared,,10
p103,,,op5,op4,80,squared,,10
