pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,BATCH_PIPELINE,op1,,1,const,,55
p1,,,op2,op1,20,linear7,,30
p1,,,op3,op1,1,const,,55
p2,0.0,BATCH_PIPELINE,op1,,1,const,,55
p2,,,op2,,5,linear3,,45
p2,,,op3,,2,sqrt,,55
p2,,,op4,,20,linear7,,30
p2,,,op5,op1;op2;op3;op4,20,linear7,,30
p3,30.496000000000002,BATCH_PIPELINE,op1,,1,const,,55
p3,,,op2,op1,15,linear3,,37.5
p3,,,op3,op2,2,sqrt,,55
p3,,,op4,op3,20,linear7,,30
p3,,,op5,op4,5,linear3,,45
p4,30.496000000000002,BATCH_PIPELINE,op1,,1,const,,55
p4,,,op2,op1,5,linear3,,45
p4,,,op3,op1,5,linear3,,45
p4,,,op4,op1,5,linear3,,45
p5,64.489,QUERY,op1,,15,linear3,,35
p6,64.489,INTERACTIVE,op1,,1,const,,55
p6,,,op2,,5,linear3,,45
p6,,,op3,,2,sqrt,,55
p6,,,op4,,2,sqrt,,55
p6,,,op5,op1;op2;op3;op4,20,linear7,,30
p7,75,INTERACTIVE,op1,,1,const,,55
p7,,,op2,op1,20,linear7,,30
p7,,,op3,op2,20,linear7,,30
p8,75,BATCH_PIPELINE,op1,,1,const,,55
p8,,,op2,op1,2,sqrt,,55
p8,,,op3,op2,15,linear3,,37.5
p9,75,INTERACTIVE,op1,,1,const,,55
p9,,,op2,op1,15,linear3,,37.5
p9,,,op3,op2,20,linear7,,30
p9,,,op4,op3,15,linear3,,37.5
p9,,,op5,op4,15,linear3,,37.5
p10,75,BATCH_PIPELINE,op1,,1,const,,55
p10,,,op2,,5,linear3,,45
p10,,,op3,op1;op2,2,sqrt,,55
p11,75,INTERACTIVE,op1,,1,const,,55
p11,,,op2,op1,20,linear7,,30
p11,,,op3,op2,1,const,,55
p11,,,op4,op3,5,linear3,,45
p11,,,op5,op4,15,linear3,,37.5
p11,,,op6,op5,20,linear7,,30
p12,75,BATCH_PIPELINE,op1,,1,const,,55
p12,,,op2,op1,5,linear3,,45
p12,,,op3,op2,20,linear7,,30
p12,,,op4,op3,5,linear3,,45
p12,,,op5,op4,1,const,,55
p13,75,INTERACTIVE,op1,,1,const,,55
p13,,,op2,op1,15,linear3,,37.5
p13,,,op3,op2,20,linear7,,30
p14,75,BATCH_PIPELINE,op1,,1,const,,55
p14,,,op2,op1,5,linear3,,45
p14,,,op3,op2,15,linear3,,37.5
p14,,,op4,op3,2,sqrt,,55
p14,,,op5,op4,5,linear3,,45
p15,75,QUERY,op1,,15,linear3,,35
p16,75,BATCH_PIPELINE,op1,,1,const,,55
p16,,,op2,op1,15,linear3,,37.5
p16,,,op3,op2,15,linear3,,37.5
p16,,,op4,op3,15,linear3,,37.5
p16,,,op5,op4,20,linear7,,30
p17,75,INTERACTIVE,op1,,1,const,,55
p17,,,op2,op1,1,const,,55
p17,,,op3,op2,1,const,,55
p17,,,op4,op3,1,const,,55
p18,75,BATCH_PIPELINE,op1,,1,const,,55
p18,,,op2,op1,5,linear3,,45
p18,,,op3,op2,40,linear7,,20
p18,,,op4,op3,5,linear3,,45
p18,,,op5,op4,20,linear7,,30
p19,75,BATCH_PIPELINE,op1,,1,const,,55
p19,,,op2,op1,5,linear3,,45
p19,,,op3,op2,20,linear7,,30
p19,,,op4,op3,1,const,,55
p20,75,INTERACTIVE,op1,,1,const,,55
p20,,,op2,op1,1,const,,55
p20,,,op3,op2,15,linear3,,37.5
p20,,,op4,op3,2,sqrt,,55
p20,,,op5,op4,15,linear3,,37.5
p21,75,BATCH_PIPELINE,op1,,1,const,,55
p21,,,op2,op1,1,const,,55
p21,,,op3,op2,15,linear3,,37.5
p21,,,op4,op3,15,linear3,,37.5
p21,,,op5,op4,40,linear7,,20
p21,,,op6,op5,20,linear7,,30
p21,,,op7,op6,15,linear3,,37.5
p22,75,INTERACTIVE,op1,,1,const,,55
p22,,,op2,op1,2,sqrt,,55
p22,,,op3,op2,5,linear3,,45
p23,75,INTERACTIVE,op1,,1,const,,55
p23,,,op2,op1,1,const,,55
