pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,INTERACTIVE,op1,,1,const,,55
p1,,,op2,op1,40,linear7,,20
p1,,,op3,op1,1,const,,55
p2,0.0,BATCH_PIPELINE,op1,,1,const,,55
p2,,,op2,,15,linear3,,37.5
p2,,,op3,,5,linear3,,45
p2,,,op4,,40,linear7,,20
p2,,,op5,op1;op2;op3;op4,40,linear7,,20
p3,30.496000000000002,INTERACTIVE,op1,,1,const,,55
p3,,,op2,op1,20,linear7,,30
p3,,,op3,op2,5,linear3,,45
p3,,,op4,op3,40,linear7,,20
p3,,,op5,op4,15,linear3,,37.5
p4,30.496000000000002,INTERACTIVE,op1,,1,const,,55
p4,,,op2,op1,15,linear3,,37.5
p4,,,op3,op1,15,linear3,,37.5
p4,,,op4,op1,15,linear3,,37.5
p5,64.489,QUERY,op1,,15,linear3,,35
p6,64.489,QUERY,op1,,15,linear3,,35
p7,75,INTERACTIVE,op1,,1,const,,55
p7,,,op2,op1,5,linear3,,45
p7,,,op3,op2,40,linear7,,20
p7,,,op4,op3,80,squared,,10
p8,75,QUERY,op1,,15,linear3,,35
p9,75,QUERY,op1,,15,linear3,,35
p10,75,QUERY,op1,,15,linear3,,35
p11,75,INTERACTIVE,op1,,1,const,,55
p11,,,op2,,2,sqrt,,55
p11,,,op3,,40,linear7,,20
p11,,,op4,,5,linear3,,45
p11,,,op5,op1;op2;op3;op4,20,linear7,,30
p12,75,QUERY,op1,,15,linear3,,35
p13,75,QUERY,op1,,15,linear3,,35
p14,75,INTERACTIVE,op1,,1,const,,55
p14,,,op2,op1,20,linear7,,30
p14,,,op3,op2,20,linear7,,30
p14,,,op4,op3,40,linear7,,20
p14,,,op5,op4,2,sqrt,,55
p15,75,INTERACTIVE,op1,,1,const,,55
p15,,,op2,op1,15,linear3,,37.5
p15,,,op3,op2,80,squared,,10
p15,,,op4,op3,5,linear3,,45
p16,75,QUERY,op1,,15,linear3,,35
p17,75,QUERY,op1,,15,linear3,,35
p18,75,INTERACTIVE,op1,,1,const,,55
p18,,,op2,op1,40,linear7,,20
p18,,,op3,op2,40,linear7,,20
p18,,,op4,op3,15,linear3,,37.5
p18,,,op5,op4,15,linear3,,37.5
p19,75,QUERY,op1,,15,linear3,,35
p20,75,QUERY,op1,,15,linear3,,35
p21,75,INTERACTIVE,op1,,1,const,,55
p21,,,op2,op1,20,linear7,,30
p21,,,op3,op2,20,linear7,,30
p22,75,INTERACTIVE,op1,,1,const,,55
p22,,,op2,,40,linear7,,20
p22,,,op3,,15,linear3,,37.5
p22,,,op4,op1;op2;op3,20,linear7,,30
p23,75,QUERY,op1,,15,linear3,,35
p24,75,QUERY,op1,,15,linear3,,35
p25,75,QUERY,op1,,15,linear3,,35
p26,75,INTERACTIVE,op1,,1,const,,55
p26,,,op2,op1,20,linear7,,30
p26,,,op3,op2,20,linear7,,30
p26,,,op4,op3,20,linear7,,30
p26,,,op5,op4,40,linear7,,20
p27,75,QUERY,op1,,15,linear3,,35
p28,75,QUERY,op1,,15,linear3,,35
p29,75,INTERACTIVE,op1,,1,const,,55
p29,,,op2,op1,2,sqrt,,55
p30,75,BATCH_PIPELINE,op1,,1,const,,55
p30,,,op2,op1,15,linear3,,37.5
p30,,,op3,op2,80,squared,,10
p30,,,op4,op3,15,linear3,,37.5
p30,,,op5,op4,40,linear7,,20
p31,75,QUERY,op1,,15,linear3,,35
p32,75,QUERY,op1,,15,linear3,,35
p33,75,QUERY,op1,,15,linear3,,35
p34,75,BATCH_PIPELINE,op1,,1,const,,55
p34,,,op2,op1,20,linear7,,30
p34,,,op3,op2,20,linear7,,30
p34,,,op4,op3,5,linear3,,45
p34,,,op5,op4,2,sqrt,,55
p34,,,op6,op5,20,linear7,,30
p35,75,INTERACTIVE,op1,,1,const,,55
p35,,,op2,op1,80,squared,,10
p35,,,op3,op2,15,linear3,,37.5
p35,,,op4,op3,2,sqrt,,55
p35,,,op5,op4,20,linear7,,30
p36,75,QUERY,op1,,15,linear3,,35
p37,97.721,QUERY,op1,,15,linear3,,35
p38,97.721,QUERY,op1,,15,linear3,,35
p39,130.398,QUERY,op1,,15,linear3,,35
p40,130.398,QUERY,op1,,15,linear3,,35
p41,155.6,BATCH_PIPELINE,op1,,1,const,,55
p41,,,op2,op1,40,linear7,,20
p41,,,op3,op2,15,linear3,,37.5
p41,,,op4,op3,2,sqrt,,55
p42,155.6,QUERY,op1,,15,linear3,,35
p43,187.952,QUERY,op1,,15,linear3,,35
p44,187.952,QUERY,op1,,15,linear3,,35
