pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,INTERACTIVE,op1,,1,const,,55
p1,,,op2,op1,40,linear7,,20
p1,,,op3,op1,1,const,,55
p2,0.0,BATCH_PIPELINE,op1,,1,const,,55
p2,,,op2,,15,linear3,,37.5
p2,,,op3,,5,linear3,,45
p2,,,op4,,40,linear7,,20
p2,,,op5,op1;op2;op3;op4,40,linear7,,20
p3,0.0,INTERACTIVE,op1,,1,const,,55
p3,,,op2,op1,5,linear3,,45
p3,,,op3,op2,20,linear7,,30
p3,,,op4,op3,5,linear3,,45
p3,,,op5,op4,40,linear7,,20
p3,,,op6,op5,15,linear3,,37.5
p4,0.0,INTERACTIVE,op1,,1,const,,55
p4,,,op2,op1,15,linear3,,37.5
p4,,,op3,op1,15,linear3,,37.5
p4,,,op4,op1,15,linear3,,37.5
p5,11.331,QUERY,op1,,15,linear3,,35
p6,11.331,QUERY,op1,,15,linear3,,35
p7,11.331,INTERACTIVE,op1,,1,const,,55
p7,,,op2,op1,5,linear3,,45
p7,,,op3,op1,5,linear3,,45
p7,,,op4,op1,40,linear7,,20
p7,,,op5,op1,80,squared,,10
p7,,,op6,op1,15,linear3,,37.5
p7,,,op7,op1,5,linear3,,45
p8,11.331,QUERY,op1,,15,linear3,,35
p9,22.958000000000002,QUERY,op1,,15,linear3,,35
p10,22.958000000000002,INTERACTIVE,op1,,1,const,,55
p10,,,op2,op1,5,linear3,,45
p10,,,op3,op2,20,linear7,,30
p11,22.958000000000002,QUERY,op1,,15,linear3,,35
p12,22.958000000000002,QUERY,op1,,15,linear3,,35
p13,35.137,QUERY,op1,,15,linear3,,35
p14,35.137,QUERY,op1,,15,linear3,,35
p15,35.137,QUERY,op1,,15,linear3,,35
p16,35.137,INTERACTIVE,op1,,1,const,,55
p16,,,op2,,15,linear3,,37.5
p16,,,op3,,15,linear3,,37.5
p16,,,op4,,5,linear3,,45
p16,,,op5,op1;op2;op3;op4,15,linear3,,37.5
p17,48.875,INTERACTIVE,op1,,1,const,,55
p17,,,op2,op1,15,linear3,,37.5
p17,,,op3,op2,20,linear7,,30
p17,,,op4,op3,40,linear7,,20
p17,,,op5,op4,40,linear7,,20
p17,,,op6,op5,40,linear7,,20
p18,48.875,QUERY,op1,,15,linear3,,35
p19,48.875,QUERY,op1,,15,linear3,,35
p20,48.875,QUERY,op1,,15,linear3,,35
p21,58.397,INTERACTIVE,op1,,1,const,,55
p21,,,op2,op1,20,linear7,,30
p21,,,op3,op2,20,linear7,,30
p22,58.397,INTERACTIVE,op1,,1,const,,55
p22,,,op2,,40,linear7,,20
p22,,,op3,,15,linear3,,37.5
p22,,,op4,op1;op2;op3,20,linear7,,30
p23,58.397,QUERY,op1,,15,linear3,,35
p24,58.397,QUERY,op1,,15,linear3,,35
p25,67.443,INTERACTIVE,op1,,1,const,,55
p25,,,op2,op1,20,linear7,,30
p25,,,op3,op2,20,linear7,,30
p25,,,op4,op3,20,linear7,,30
p25,,,op5,op4,40,linear7,,20
p26,67.443,QUERY,op1,,15,linear3,,35
p27,67.443,QUERY,op1,,15,linear3,,35
p28,67.443,INTERACTIVE,op1,,1,const,,55
p28,,,op2,op1,2,sqrt,,55
p29,74.95,BATCH_PIPELINE,op1,,1,const,,55
p29,,,op2,op1,80,squared,,10
p29,,,op3,op2,15,linear3,,37.5
p30,74.95,INTERACTIVE,op1,,1,const,,55
p30,,,op2,op1,5,linear3,,45
p30,,,op3,op2,15,linear3,,37.5
p31,74.95,QUERY,op1,,15,linear3,,35
p32,74.95,QUERY,op1,,15,linear3,,35
p33,86.037,QUERY,op1,,15,linear3,,35
p34,86.037,QUERY,op1,,15,linear3,,35
p35,86.037,INTERACTIVE,op1,,1,const,,55
p35,,,op2,,20,linear7,,30
p35,,,op3,,20,linear7,,30
p35,,,op4,,80,squared,,10
p35,,,op5,op1;op2;op3;op4,15,linear3,,37.5
p36,86.037,QUERY,op1,,15,linear3,,35
p37,96.486,QUERY,op1,,15,linear3,,35
p38,96.486,QUERY,op1,,15,linear3,,35
p39,96.486,QUERY,op1,,15,linear3,,35
p40,96.486,QUERY,op1,,15,linear3,,35
p41,110.145,QUERY,op1,,15,linear3,,35
p42,110.145,QUERY,op1,,15,linear3,,35
p43,110.145,BATCH_PIPELINE,op1,,1,const,,55
p43,,,op2,op1,40,linear7,,20
p43,,,op3,op2,15,linear3,,37.5
p43,,,op4,op3,2,sqrt,,55
p44,110.145,QUERY,op1,,15,linear3,,35
p45,120.929,QUERY,op1,,15,linear3,,35
p46,120.929,QUERY,op1,,15,linear3,,35
